"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"May 22, 2026",29444.00,29749.00,29436.00,29520.75,29520.75,483608
"May 21, 2026",29253.00,29554.00,29113.00,29447.25,29447.25,606377
"May 20, 2026",28929.75,29397.50,28797.25,29390.50,29390.50,606377
"May 19, 2026",29100.00,29188.50,28663.00,28924.25,28924.25,717466
"May 18, 2026",29135.00,29419.75,28814.75,29096.00,29096.00,854443
"May 15, 2026",29690.00,29734.00,29089.75,29231.75,29231.75,750779
"May 14, 2026",29537.00,29782.00,29448.25,29687.75,29687.75,611771
"May 13, 2026",29143.75,29565.50,29055.50,29479.25,29479.25,570739
"May 12, 2026",29399.00,29455.75,28742.00,29170.00,29170.00,719824
"May 11, 2026",29294.00,29480.00,29225.75,29424.00,29424.00,558723
"May 08, 2026",28582.00,29386.75,28541.00,29332.50,29332.50,543817
"May 07, 2026",28662.75,28944.75,28552.00,28682.25,28682.25,657049
"May 06, 2026",28250.00,28800.00,28243.00,28716.75,28716.75,637911
"May 05, 2026",27760.00,28247.00,27731.75,28136.00,28136.00,458058
"May 04, 2026",27890.00,27965.75,27613.00,27776.00,27776.00,576727
"May 01, 2026",27631.75,27917.00,27536.25,27835.75,27835.75,509821
"Apr 30, 2026",27207.00,27622.75,27163.25,27596.00,27596.00,701348
"Apr 29, 2026",27197.25,27414.00,27094.00,27325.25,27325.25,516846
"Apr 28, 2026",27423.00,27512.00,27009.50,27168.75,27168.75,603738
"Apr 27, 2026",27403.25,27542.50,27298.50,27440.50,27440.50,444514
"Apr 24, 2026",26992.00,27462.50,26992.00,27435.00,27435.00,545525
"Apr 23, 2026",27075.00,27155.75,26681.75,26934.00,26934.00,644095
"Apr 22, 2026",26729.50,27136.00,26727.75,27083.00,27083.00,512026
"Apr 21, 2026",26776.75,26901.75,26551.75,26634.75,26634.75,610696
"Apr 20, 2026",26599.75,26827.75,26535.00,26748.75,26748.75,502901
"Apr 17, 2026",26460.00,26884.75,26440.00,26825.50,26825.50,599136
"Apr 16, 2026",26350.00,26564.00,26275.50,26487.25,26487.25,590117
"Apr 15, 2026",25985.75,26377.50,25933.75,26365.50,26365.50,521771
"Apr 14, 2026",25575.25,26003.25,25560.00,25996.75,25996.75,477724
"Apr 13, 2026",24980.00,25599.25,24904.50,25543.50,25543.50,507117
"Apr 10, 2026",25237.00,25393.00,25193.00,25281.25,25281.25,430719
"Apr 09, 2026",25037.75,25269.75,24953.00,25251.50,25251.50,514186
"Apr 08, 2026",24514.00,25257.00,24355.00,25074.25,25074.25,644388
"Apr 07, 2026",24348.75,24451.50,23941.50,24371.00,24371.00,575961
"Apr 06, 2026",24093.50,24452.25,23981.50,24358.50,24358.50,444473
"Apr 02, 2026",24180.00,24266.75,23666.00,24218.00,24218.00,576893
"Apr 01, 2026",23889.00,24348.25,23880.00,24194.75,24194.75,579693
"Mar 31, 2026",23119.50,23975.25,22961.50,23915.00,23915.00,755160
"Mar 30, 2026",23189.50,23574.00,23024.50,23139.75,23139.75,559453
"Mar 27, 2026",23824.00,23976.00,23232.50,23328.50,23328.50,559271
"Mar 26, 2026",24373.50,24421.25,23763.25,23794.25,23794.25,557306
"Mar 25, 2026",24420.00,24539.75,24286.50,24367.75,24367.75,525449
"Mar 24, 2026",24417.25,24550.00,24134.00,24213.75,24213.75,544209
"Mar 23, 2026",23902.00,24763.00,23772.50,24408.25,24408.25,683625
"Mar 20, 2026",24417.25,24444.00,24108.75,24291.78,24291.78,611673
"Mar 19, 2026",24399.75,24505.25,24115.00,24364.00,24364.00,69553
"Mar 18, 2026",24796.00,24989.00,24350.00,24434.50,24434.50,126918
"Mar 17, 2026",24668.75,24896.00,24517.00,24795.50,24795.50,204810
"Mar 16, 2026",24285.00,24816.25,24278.00,24675.75,24675.75,413547
"Mar 13, 2026",24567.00,24805.25,24333.75,24394.25,24394.25,609146
"Mar 12, 2026",24934.50,24949.25,24517.75,24560.00,24560.00,565145
"Mar 11, 2026",25010.25,25180.00,24873.50,24983.50,24983.50,476593
"Mar 10, 2026",24981.50,25217.50,24830.00,24982.50,24982.50,564644
"Mar 09, 2026",24435.25,25058.00,24000.00,24991.00,24991.00,708630
"Mar 06, 2026",25019.75,25141.50,24601.00,24670.25,24670.25,645082
"Mar 05, 2026",25156.50,25250.00,24772.50,25049.50,25049.50,683962
"Mar 04, 2026",24710.75,25217.75,24499.00,25128.25,25128.25,603596
"Mar 03, 2026",25002.75,25011.00,24352.00,24755.75,24755.75,719421
"Mar 02, 2026",24682.50,25101.00,24477.00,25025.25,25025.25,627650
"Feb 27, 2026",25024.25,25098.75,24782.00,25004.75,25004.75,561211
"Feb 26, 2026",25388.25,25418.25,24861.75,25081.00,25081.00,605581
"Feb 25, 2026",25016.25,25494.75,24992.00,25382.00,25382.00,417621
"Feb 24, 2026",24788.00,25078.75,24694.50,25028.75,25028.75,520239
"Feb 23, 2026",25033.75,25059.75,24668.00,24762.75,24762.75,594568
"Feb 20, 2026",24837.75,25139.50,24678.50,25067.50,25067.50,615358
"Feb 19, 2026",24943.50,25054.00,24749.00,24858.75,24858.75,515038
